Parameter Sweeps

Number of parameters swept: 45

Table of parameters swept 
public	double	initialProtesters	0.1	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.3	0.3	0.3	0.3	0.3	0.4	0.4	0.4	0.4	0.4	0.5	0.5	0.5	0.5	0.5	0.6	0.6	0.6	0.6	0.6	0.7	0.7	0.7	0.7	0.7	0.8	0.8	0.8	0.8	0.8	0.9	0.9	0.9	0.9	0.9	
public	double	initialSensitivity	0.1	0.3	0.5	0.7	0.9	0.1	0.3	0.5	0.7	0.9	0.1	0.3	0.5	0.7	0.9	0.1	0.3	0.5	0.7	0.9	0.1	0.3	0.5	0.7	0.9	0.1	0.3	0.5	0.7	0.9	0.1	0.3	0.5	0.7	0.9	0.1	0.3	0.5	0.7	0.9	0.1	0.3	0.5	0.7	0.9	

Parameter values for the class class structures.Environment
initialProtesters  0.1
initialSensitivity  0.1
n  1000
nameSpace  SPARSE
gridWidth  50
gridHeight  50
paramSweeps  true
simLength  1000
simNumber  1
fileDataName  results2.txt
folderDataName  data
dataSamplingInterval  1
burnIn  0
scheduleTimeInterval  1.0
closeProgramAtend  true
initialProtesters	Value	initialSensitivity	Value	Step	Reps	pro	con	silent	avgSensitivity	Step	Reps	pro	con	silent	avgSensitivity	
initialProtesters	0.1	initialSensitivity	0.1	999.000	1.000	458.000	60.000	482.000	0.768	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.1	initialSensitivity	0.3	999.000	1.000	462.000	55.000	483.000	0.835	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.1	initialSensitivity	0.5	999.000	1.000	466.000	55.000	479.000	0.863	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.1	initialSensitivity	0.7	999.000	1.000	438.000	57.000	505.000	0.909	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.1	initialSensitivity	0.9	999.000	1.000	446.000	56.000	498.000	0.929	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.2	initialSensitivity	0.1	999.000	1.000	403.000	131.000	466.000	0.644	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.2	initialSensitivity	0.3	999.000	1.000	419.000	151.000	430.000	0.660	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.2	initialSensitivity	0.5	999.000	1.000	387.000	127.000	486.000	0.729	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.2	initialSensitivity	0.7	999.000	1.000	399.000	128.000	473.000	0.793	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.2	initialSensitivity	0.9	999.000	1.000	430.000	105.000	465.000	0.851	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.3	initialSensitivity	0.1	999.000	1.000	356.000	245.000	399.000	0.475	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.3	initialSensitivity	0.3	999.000	1.000	357.000	218.000	425.000	0.557	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.3	initialSensitivity	0.5	999.000	1.000	338.000	208.000	454.000	0.618	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.3	initialSensitivity	0.7	999.000	1.000	361.000	205.000	434.000	0.691	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.3	initialSensitivity	0.9	999.000	1.000	350.000	181.000	469.000	0.793	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.4	initialSensitivity	0.1	999.000	1.000	303.000	326.000	371.000	0.362	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.4	initialSensitivity	0.3	999.000	1.000	311.000	329.000	360.000	0.417	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.4	initialSensitivity	0.5	999.000	1.000	302.000	326.000	372.000	0.476	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.4	initialSensitivity	0.7	999.000	1.000	319.000	274.000	407.000	0.629	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.4	initialSensitivity	0.9	999.000	1.000	323.000	284.000	393.000	0.635	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.5	initialSensitivity	0.1	999.000	1.000	261.000	437.000	302.000	0.285	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.5	initialSensitivity	0.3	999.000	1.000	236.000	440.000	324.000	0.324	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.5	initialSensitivity	0.5	999.000	1.000	234.000	386.000	380.000	0.421	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.5	initialSensitivity	0.7	999.000	1.000	248.000	388.000	364.000	0.437	999.000	1.000	0.000	0.000	0.000	0.000
initialProtesters	0.5	initialSensitivity	0.9	999.000	1.000	254.000	382.000	364.000	0.489	999.000	1.000	0.000	0.000	0.000	0.000
