% Base Parameters: useNetwork = true, networkType = random, networkSplit = 20,20,60, meanK = 3, active = 1, distance = .2, initialProtesters = .2, initialSensitivity = .7, n = 100, gridWidth = 100, gridHeight = 100, 

% Random Parameters: 
% Test Parameters:
% ,,,Results
Seed,Timestep,Agent#,Agent,sensitivity,signal,
0,1000,0,structures.Agent@404b9385,1.0,1.0,
0,1000,1,structures.Agent@4dd8dc3,1.0,0.0,
0,1000,2,structures.Agent@6d03e736,1.0,0.0,
0,1000,3,structures.Agent@568db2f2,1.0,1.0,
0,1000,4,structures.Agent@378bf509,1.0,1.0,
0,1000,5,structures.Agent@5fd0d5ae,1.0,1.0,
0,1000,6,structures.Agent@2d98a335,1.0,0.0,
0,1000,7,structures.Agent@16b98e56,1.0,1.0,
0,1000,8,structures.Agent@7ef20235,1.0,0.0,
0,1000,9,structures.Agent@27d6c5e0,1.0,0.0,
0,1000,10,structures.Agent@4f3f5b24,1.0,0.0,
0,1000,11,structures.Agent@15aeb7ab,1.0,0.0,
0,1000,12,structures.Agent@7b23ec81,1.0,0.0,
0,1000,13,structures.Agent@6acbcfc0,1.0,0.0,
0,1000,14,structures.Agent@5f184fc6,1.0,1.0,
0,1000,15,structures.Agent@3feba861,1.0,1.0,
0,1000,16,structures.Agent@5b480cf9,1.0,0.0,
0,1000,17,structures.Agent@6f496d9f,1.0,0.0,
0,1000,18,structures.Agent@723279cf,1.0,0.0,
0,1000,19,structures.Agent@10f87f48,1.0,0.0,
0,1000,20,structures.Agent@b4c966a,1.0,0.0,
0,1000,21,structures.Agent@2f4d3709,1.0,0.0,
0,1000,22,structures.Agent@4e50df2e,1.0,0.0,
0,1000,23,structures.Agent@1d81eb93,1.0,0.0,
0,1000,24,structures.Agent@7291c18f,1.0,0.0,
0,1000,25,structures.Agent@34a245ab,1.0,0.0,
0,1000,26,structures.Agent@7cc355be,1.0,0.0,
0,1000,27,structures.Agent@6e8cf4c6,1.0,0.0,
0,1000,28,structures.Agent@12edcd21,1.0,0.0,
0,1000,29,structures.Agent@34c45dca,1.0,0.0,
0,1000,30,structures.Agent@52cc8049,1.0,0.0,
0,1000,31,structures.Agent@5b6f7412,1.0,0.0,
0,1000,32,structures.Agent@27973e9b,1.0,0.0,
0,1000,33,structures.Agent@312b1dae,1.0,0.0,
0,1000,34,structures.Agent@7530d0a,1.0,0.0,
0,1000,35,structures.Agent@27bc2616,0.6668042517086888,0.0,
0,1000,36,structures.Agent@3941a79c,1.0,0.0,
0,1000,37,structures.Agent@506e1b77,1.0,0.0,
0,1000,38,structures.Agent@4fca772d,1.0,0.0,
0,1000,39,structures.Agent@9807454,1.0,0.0,
0,1000,40,structures.Agent@3d494fbf,1.0,0.0,
0,1000,41,structures.Agent@1ddc4ec2,1.0,0.0,
0,1000,42,structures.Agent@133314b,1.0,0.0,
0,1000,43,structures.Agent@b1bc7ed,1.0,0.0,
0,1000,44,structures.Agent@7cd84586,1.0,0.0,
0,1000,45,structures.Agent@30dae81,1.0,0.0,
0,1000,46,structures.Agent@1b2c6ec2,1.0,0.0,
0,1000,47,structures.Agent@4edde6e5,1.0,0.0,
0,1000,48,structures.Agent@70177ecd,1.0,0.0,
0,1000,49,structures.Agent@1e80bfe8,1.0,0.0,
0,1000,50,structures.Agent@66a29884,1.0,0.0,
0,1000,51,structures.Agent@4769b07b,1.0,0.0,
0,1000,52,structures.Agent@cc34f4d,1.0,0.0,
0,1000,53,structures.Agent@17a7cec2,1.0,0.0,
0,1000,54,structures.Agent@65b3120a,1.0,0.0,
0,1000,55,structures.Agent@6f539caf,1.0,0.0,
0,1000,56,structures.Agent@79fc0f2f,1.0,0.0,
0,1000,57,structures.Agent@50040f0c,1.0,0.0,
0,1000,58,structures.Agent@2dda6444,1.0,0.0,
0,1000,59,structures.Agent@5e9f23b4,1.0,0.0,
0,1000,60,structures.Agent@4783da3f,1.0,0.0,
0,1000,61,structures.Agent@378fd1ac,1.0,0.0,
0,1000,62,structures.Agent@49097b5d,1.0,0.0,
0,1000,63,structures.Agent@6e2c634b,1.0,0.0,
0,1000,64,structures.Agent@37a71e93,1.0,0.0,
0,1000,65,structures.Agent@7e6cbb7a,1.0,0.0,
0,1000,66,structures.Agent@7c3df479,1.0,0.0,
0,1000,67,structures.Agent@7106e68e,1.0,0.0,
0,1000,68,structures.Agent@7eda2dbb,1.0,0.0,
0,1000,69,structures.Agent@6576fe71,1.0,0.0,
0,1000,70,structures.Agent@76fb509a,1.0,0.0,
0,1000,71,structures.Agent@300ffa5d,1.0,0.0,
0,1000,72,structures.Agent@1f17ae12,1.0,0.0,
0,1000,73,structures.Agent@4d405ef7,1.0,0.0,
0,1000,74,structures.Agent@6193b845,1.0,0.0,
0,1000,75,structures.Agent@2e817b38,1.0,0.0,
0,1000,76,structures.Agent@c4437c4,1.0,0.0,
0,1000,77,structures.Agent@433c675d,1.0,0.0,
0,1000,78,structures.Agent@3f91beef,1.0,0.0,
0,1000,79,structures.Agent@1a6c5a9e,1.0,0.0,
0,1000,80,structures.Agent@37bba400,1.0,0.0,
0,1000,81,structures.Agent@179d3b25,1.0,0.0,
0,1000,82,structures.Agent@254989ff,1.0,0.0,
0,1000,83,structures.Agent@5d099f62,1.0,0.0,
0,1000,84,structures.Agent@37f8bb67,1.0,0.0,
0,1000,85,structures.Agent@49c2faae,1.0,0.0,
0,1000,86,structures.Agent@20ad9418,1.0,0.0,
0,1000,87,structures.Agent@31cefde0,1.0,0.0,
0,1000,88,structures.Agent@439f5b3d,1.0,0.0,
0,1000,89,structures.Agent@1d56ce6a,1.0,0.0,
0,1000,90,structures.Agent@5197848c,1.0,0.0,
0,1000,91,structures.Agent@17f052a3,1.0,0.0,
0,1000,92,structures.Agent@2e0fa5d3,1.0,0.0,
0,1000,93,structures.Agent@5010be6,1.0,0.0,
0,1000,94,structures.Agent@685f4c2e,1.0,0.0,
0,1000,95,structures.Agent@7daf6ecc,0.6659393701412846,0.0,
0,1000,96,structures.Agent@2e5d6d97,1.0,0.0,
0,1000,97,structures.Agent@238e0d81,1.0,0.0,
0,1000,98,structures.Agent@31221be2,1.0,0.0,
0,1000,99,structures.Agent@377dca04,1.0,0.0,
1,1000,0,structures.Agent@27f8302d,0.7097127302412196,0.0,
1,1000,1,structures.Agent@4d76f3f8,1.0,1.0,
1,1000,2,structures.Agent@2d8e6db6,1.0,0.0,
1,1000,3,structures.Agent@23ab930d,0.6701466667748303,1.0,
1,1000,4,structures.Agent@4534b60d,1.0,1.0,
1,1000,5,structures.Agent@3fa77460,1.0,0.0,
1,1000,6,structures.Agent@619a5dff,1.0,0.0,
