% Base Parameters: useNetwork = true, networkType = random, networkSplit = 20,20,60, meanK = 3, active = 1, distance = .2, initialProtesters = .2, initialSensitivity = .7, n = 100, gridWidth = 100, gridHeight = 100, 

% Random Parameters: 
% Test Parameters:
% ,,Results
Seed,Timestep,from,to,info,
0,1000,structures.Agent@404b9385,structures.Agent@5fd0d5ae,null,
0,1000,structures.Agent@4dd8dc3,structures.Agent@2e5d6d97,null,
0,1000,structures.Agent@6d03e736,structures.Agent@6e2c634b,null,
0,1000,structures.Agent@568db2f2,structures.Agent@20ad9418,null,
0,1000,structures.Agent@378bf509,structures.Agent@4dd8dc3,null,
0,1000,structures.Agent@378bf509,structures.Agent@6f496d9f,null,
0,1000,structures.Agent@5fd0d5ae,structures.Agent@7530d0a,null,
0,1000,structures.Agent@2d98a335,structures.Agent@6acbcfc0,null,
0,1000,structures.Agent@16b98e56,structures.Agent@7cc355be,null,
0,1000,structures.Agent@7ef20235,structures.Agent@3f91beef,null,
0,1000,structures.Agent@27d6c5e0,structures.Agent@65b3120a,null,
0,1000,structures.Agent@27d6c5e0,structures.Agent@b4c966a,null,
0,1000,structures.Agent@4f3f5b24,structures.Agent@7106e68e,null,
0,1000,structures.Agent@4f3f5b24,structures.Agent@16b98e56,null,
0,1000,structures.Agent@4f3f5b24,structures.Agent@377dca04,null,
0,1000,structures.Agent@4f3f5b24,structures.Agent@6193b845,null,
0,1000,structures.Agent@15aeb7ab,structures.Agent@b4c966a,null,
0,1000,structures.Agent@15aeb7ab,structures.Agent@254989ff,null,
0,1000,structures.Agent@6acbcfc0,structures.Agent@31cefde0,null,
0,1000,structures.Agent@6acbcfc0,structures.Agent@568db2f2,null,
0,1000,structures.Agent@6acbcfc0,structures.Agent@312b1dae,null,
0,1000,structures.Agent@6acbcfc0,structures.Agent@179d3b25,null,
0,1000,structures.Agent@5f184fc6,structures.Agent@50040f0c,null,
0,1000,structures.Agent@5f184fc6,structures.Agent@7ef20235,null,
0,1000,structures.Agent@5f184fc6,structures.Agent@37a71e93,null,
0,1000,structures.Agent@3feba861,structures.Agent@2e5d6d97,null,
0,1000,structures.Agent@3feba861,structures.Agent@7cd84586,null,
0,1000,structures.Agent@5b480cf9,structures.Agent@3941a79c,null,
0,1000,structures.Agent@5b480cf9,structures.Agent@10f87f48,null,
0,1000,structures.Agent@6f496d9f,structures.Agent@16b98e56,null,
0,1000,structures.Agent@6f496d9f,structures.Agent@2e817b38,null,
0,1000,structures.Agent@723279cf,structures.Agent@6193b845,null,
0,1000,structures.Agent@723279cf,structures.Agent@1e80bfe8,null,
0,1000,structures.Agent@b4c966a,structures.Agent@6e8cf4c6,null,
0,1000,structures.Agent@4e50df2e,structures.Agent@b1bc7ed,null,
0,1000,structures.Agent@1d81eb93,structures.Agent@439f5b3d,null,
0,1000,structures.Agent@1d81eb93,structures.Agent@6576fe71,null,
0,1000,structures.Agent@34a245ab,structures.Agent@506e1b77,null,
0,1000,structures.Agent@34a245ab,structures.Agent@27d6c5e0,null,
0,1000,structures.Agent@6e8cf4c6,structures.Agent@65b3120a,null,
0,1000,structures.Agent@12edcd21,structures.Agent@17f052a3,null,
0,1000,structures.Agent@34c45dca,structures.Agent@4769b07b,null,
0,1000,structures.Agent@52cc8049,structures.Agent@5d099f62,null,
0,1000,structures.Agent@52cc8049,structures.Agent@2e5d6d97,null,
0,1000,structures.Agent@52cc8049,structures.Agent@3941a79c,null,
0,1000,structures.Agent@5b6f7412,structures.Agent@31cefde0,null,
0,1000,structures.Agent@5b6f7412,structures.Agent@5197848c,null,
0,1000,structures.Agent@27973e9b,structures.Agent@7106e68e,null,
0,1000,structures.Agent@27973e9b,structures.Agent@439f5b3d,null,
0,1000,structures.Agent@312b1dae,structures.Agent@7ef20235,null,
0,1000,structures.Agent@312b1dae,structures.Agent@5f184fc6,null,
0,1000,structures.Agent@312b1dae,structures.Agent@2d98a335,null,
0,1000,structures.Agent@7530d0a,structures.Agent@378bf509,null,
0,1000,structures.Agent@7530d0a,structures.Agent@4dd8dc3,null,
0,1000,structures.Agent@3941a79c,structures.Agent@34c45dca,null,
0,1000,structures.Agent@506e1b77,structures.Agent@254989ff,null,
0,1000,structures.Agent@4fca772d,structures.Agent@6f539caf,null,
0,1000,structures.Agent@4fca772d,structures.Agent@9807454,null,
0,1000,structures.Agent@9807454,structures.Agent@1ddc4ec2,null,
0,1000,structures.Agent@9807454,structures.Agent@1a6c5a9e,null,
0,1000,structures.Agent@9807454,structures.Agent@34c45dca,null,
0,1000,structures.Agent@9807454,structures.Agent@5d099f62,null,
0,1000,structures.Agent@3d494fbf,structures.Agent@52cc8049,null,
0,1000,structures.Agent@1ddc4ec2,structures.Agent@49c2faae,null,
0,1000,structures.Agent@133314b,structures.Agent@2e5d6d97,null,
0,1000,structures.Agent@133314b,structures.Agent@378bf509,null,
0,1000,structures.Agent@b1bc7ed,structures.Agent@6d03e736,null,
0,1000,structures.Agent@b1bc7ed,structures.Agent@10f87f48,null,
0,1000,structures.Agent@7cd84586,structures.Agent@6193b845,null,
0,1000,structures.Agent@30dae81,structures.Agent@300ffa5d,null,
0,1000,structures.Agent@30dae81,structures.Agent@1d81eb93,null,
0,1000,structures.Agent@1b2c6ec2,structures.Agent@b1bc7ed,null,
0,1000,structures.Agent@1b2c6ec2,structures.Agent@6d03e736,null,
0,1000,structures.Agent@1b2c6ec2,structures.Agent@6193b845,null,
0,1000,structures.Agent@4edde6e5,structures.Agent@378fd1ac,null,
0,1000,structures.Agent@70177ecd,structures.Agent@433c675d,null,
0,1000,structures.Agent@70177ecd,structures.Agent@685f4c2e,null,
0,1000,structures.Agent@1e80bfe8,structures.Agent@16b98e56,null,
0,1000,structures.Agent@1e80bfe8,structures.Agent@6e2c634b,null,
0,1000,structures.Agent@66a29884,structures.Agent@3941a79c,null,
0,1000,structures.Agent@4769b07b,structures.Agent@404b9385,null,
0,1000,structures.Agent@cc34f4d,structures.Agent@238e0d81,null,
0,1000,structures.Agent@17a7cec2,structures.Agent@7ef20235,null,
0,1000,structures.Agent@17a7cec2,structures.Agent@20ad9418,null,
0,1000,structures.Agent@79fc0f2f,structures.Agent@300ffa5d,null,
0,1000,structures.Agent@79fc0f2f,structures.Agent@34c45dca,null,
0,1000,structures.Agent@79fc0f2f,structures.Agent@4dd8dc3,null,
