% Base Parameters: gaussian = false, rotation = .2, gaussanStandardDeviation = 1, stepSize = 1, useNetwork = true, networkType = meanK, networkSplit = 0, networkShare = 0, meanK = 1, active = 1, distance = .2, initialProtesters = .2, initialSensitivity = .7, n = 1000, gridWidth = 100, gridHeight = 100, 

% Random Parameters: 
% Test Parameters:
% ,,Results
Seed,Timestep,from,to,info,
0,1000,structures.Agent@568db2f2,structures.Agent@3fb4f649,null,
0,1000,structures.Agent@378bf509,structures.Agent@736e9adb,null,
0,1000,structures.Agent@27d6c5e0,structures.Agent@16b98e56,null,
0,1000,structures.Agent@4f3f5b24,structures.Agent@1b4fb997,null,
0,1000,structures.Agent@4f3f5b24,structures.Agent@53e25b76,null,
0,1000,structures.Agent@7b23ec81,structures.Agent@27d6c5e0,null,
0,1000,structures.Agent@3feba861,structures.Agent@6aceb1a5,null,
0,1000,structures.Agent@3feba861,structures.Agent@3834d63f,null,
0,1000,structures.Agent@3feba861,structures.Agent@3cda1055,null,
0,1000,structures.Agent@5b480cf9,structures.Agent@7b3300e5,null,
0,1000,structures.Agent@5b480cf9,structures.Agent@51565ec2,null,
0,1000,structures.Agent@10f87f48,structures.Agent@108c4c35,null,
0,1000,structures.Agent@7291c18f,structures.Agent@6833ce2c,null,
0,1000,structures.Agent@6e8cf4c6,structures.Agent@3b22cdd0,null,
0,1000,structures.Agent@12edcd21,structures.Agent@5fe5c6f,null,
0,1000,structures.Agent@34c45dca,structures.Agent@8807e25,null,
0,1000,structures.Agent@34c45dca,structures.Agent@67f89fa3,null,
0,1000,structures.Agent@52cc8049,structures.Agent@29ca901e,null,
0,1000,structures.Agent@5b6f7412,structures.Agent@24273305,null,
0,1000,structures.Agent@5b6f7412,structures.Agent@7a5d012c,null,
0,1000,structures.Agent@27973e9b,structures.Agent@61e717c2,null,
0,1000,structures.Agent@27bc2616,structures.Agent@59e84876,null,
0,1000,structures.Agent@9807454,structures.Agent@23ceabc1,null,
0,1000,structures.Agent@9807454,structures.Agent@668bc3d5,null,
0,1000,structures.Agent@3d494fbf,structures.Agent@725bef66,null,
0,1000,structures.Agent@133314b,structures.Agent@5479e3f,null,
0,1000,structures.Agent@7cd84586,structures.Agent@1698c449,null,
0,1000,structures.Agent@7cd84586,structures.Agent@2d3fcdbd,null,
0,1000,structures.Agent@7cd84586,structures.Agent@edf4efb,null,
0,1000,structures.Agent@7cd84586,structures.Agent@5e9f23b4,null,
0,1000,structures.Agent@4edde6e5,structures.Agent@7e774085,null,
0,1000,structures.Agent@1e80bfe8,structures.Agent@8807e25,null,
0,1000,structures.Agent@cc34f4d,structures.Agent@60addb54,null,
0,1000,structures.Agent@cc34f4d,structures.Agent@28864e92,null,
0,1000,structures.Agent@17a7cec2,structures.Agent@548b7f67,null,
0,1000,structures.Agent@65b3120a,structures.Agent@64bfbc86,null,
0,1000,structures.Agent@65b3120a,structures.Agent@13c78c0b,null,
0,1000,structures.Agent@6f539caf,structures.Agent@2dda6444,null,
0,1000,structures.Agent@2dda6444,structures.Agent@3cb5cdba,null,
0,1000,structures.Agent@4783da3f,structures.Agent@553f17c,null,
0,1000,structures.Agent@6e2c634b,structures.Agent@5aaa6d82,null,
0,1000,structures.Agent@6e2c634b,structures.Agent@61a52fbd,null,
0,1000,structures.Agent@7e6cbb7a,structures.Agent@47fd17e3,null,
0,1000,structures.Agent@7c3df479,structures.Agent@31cefde0,null,
0,1000,structures.Agent@1f17ae12,structures.Agent@475530b9,null,
0,1000,structures.Agent@4d405ef7,structures.Agent@4f3f5b24,null,
0,1000,structures.Agent@6193b845,structures.Agent@553f17c,null,
0,1000,structures.Agent@6193b845,structures.Agent@224edc67,null,
0,1000,structures.Agent@2e817b38,structures.Agent@5910e440,null,
0,1000,structures.Agent@c4437c4,structures.Agent@29ee9faa,null,
0,1000,structures.Agent@c4437c4,structures.Agent@621be5d1,null,
0,1000,structures.Agent@433c675d,structures.Agent@396a51ab,null,
0,1000,structures.Agent@433c675d,structures.Agent@2b98378d,null,
0,1000,structures.Agent@3f91beef,structures.Agent@4629104a,null,
0,1000,structures.Agent@1a6c5a9e,structures.Agent@6a4f787b,null,
0,1000,structures.Agent@1a6c5a9e,structures.Agent@2e5c649,null,
0,1000,structures.Agent@37f8bb67,structures.Agent@77afea7d,null,
0,1000,structures.Agent@439f5b3d,structures.Agent@100fc185,null,
0,1000,structures.Agent@5197848c,structures.Agent@5e8c92f4,null,
0,1000,structures.Agent@5197848c,structures.Agent@d7b1517,null,
0,1000,structures.Agent@17f052a3,structures.Agent@35f983a6,null,
0,1000,structures.Agent@2e0fa5d3,structures.Agent@573f2bb1,null,
0,1000,structures.Agent@2e5d6d97,structures.Agent@1b40d5f0,null,
0,1000,structures.Agent@238e0d81,structures.Agent@1ee0005,null,
0,1000,structures.Agent@31221be2,structures.Agent@4f933fd1,null,
0,1000,structures.Agent@728938a9,structures.Agent@4926097b,null,
0,1000,structures.Agent@21b8d17c,structures.Agent@1e643faf,null,
0,1000,structures.Agent@6433a2,structures.Agent@e6ea0c6,null,
